"Country","year","CPI","PCGDP","LNPCGDP","OPEN","SCH","LAW","FISCAL","FREEINV","FDI","LNFDI"
"Algeria",2003,2.6,2103.38129106939,7.6513014674326,62.1247730289143,74.1038589477539,2.01461938,65.2,70,884749028,21.2939617591338
"Algeria",2004,2.7,2610.18542243488,7.8671765408718,65.7014218464212,77.5079879760742,1.3734182634,74.1,70,1155999999.99995,21.5613787877565
"Algeria",2005,2.8,3113.09488313746,8.04337264962294,71.2786009597481,78.9892120361328,0.61538981325,73.9,50,1841000000.00008,22.0267219197573
"Algeria",2006,3.1,3478.71000237566,8.15441681507387,70.7300124352536,79.8845291137695,0.9274395383,73.9,50,1686736539.70385,21.9392086379814
"Algeria",2007,3,3950.5129931247,8.28160072113971,71.9381290438053,70.3138580322266,0.79316355068,73.8,50,2638607033.75183,22.3866641566839
"Algeria",2008,3.2,4923.63161541179,8.50180167041379,76.6845181652822,76.7010803222656,0.94441202347,77,40,2746930734.16534,22.426897209218
"Bahrain",2003,6.1,14222.0367965749,9.56254792773971,128.091582155216,94.2609710693359,0.3852535225,99.5,50,865308118.622994,21.2717433885302
"Bahrain",2004,5.8,15846.5059474506,9.67070431004807,140.737310039923,95.3710021972656,0.84353000436,99.5,50,1048601306.14142,21.4638702042669
"Bahrain",2005,5.8,17959.3968267194,9.79586875703384,148.313525108923,96.2000732421875,0.44986430968,99.5,50,2914659868.30075,22.486166147242
"Bahrain",2006,5.7,19307.5089373876,9.86824936334051,147.104181068989,96.3972091674805,0.73036644571,99.4,50,1756312514.78198,21.9796294665782
"Bahrain",2007,5,20976.442287272,9.95115529117745,137.785050572304,NA,0.38612871214,99.4,50,1793998354.54447,22.0008598639432
"Bahrain",2008,5.4,23066.4509824376,10.0461345024216,145.882511145821,91.7923126220703,0.5382879751,99.7,60,257149561.420298,20.0583156052033
"Egypt",2003,3.3,1102.46819936156,7.00530676278851,46.1796407185629,82.4329605102539,0.64674613506,66.1,50,1253300000,21.6421930901417
"Egypt",2004,3.2,1062.15809193398,6.96805805318434,57.8199052132701,81.8559265136719,0.43412565805,66.1,50,5375600000,23.0982832131971
"Egypt",2005,3.4,1186.39331322717,7.07867315462036,62.9526462395543,NA,0.69117489882,66.1,50,10042800000,23.723268977351
"Egypt",2006,3.3,1397.43669004643,7.24239490171072,61.5185365063947,NA,0.71415869699,64.7,50,11578100000,23.8655284001962
"Egypt",2007,2.9,1667.3179980551,7.41897162523921,65.077873254565,NA,0.86920815291,90.4,50,9494600000,23.6671362334477
"Egypt",2008,2.8,2044.52780415176,7.62292213919951,71.6806253489671,NA,1.214273716,90.8,50,6711600000,23.3202503901398
"Iran",2003,3,2253.93583450566,7.72043322680573,50.6791057753261,77.4044494628906,2.6466852645,64.2,30,3037299840,22.5273819277055
"Iran",2004,2.9,2756.19882213993,7.92160777109168,51.3138573265888,77.4774703979492,2.922353333,64.2,30,2889191670,22.4773897815457
"Iran",2005,2.9,3246.05112244352,8.08519449731697,54.4404952635536,77.233512878418,NA,81.2,30,2317538500,22.2569186485555
"Iran",2006,2.7,3774.35805548168,8.23598559569469,53.1673587143845,78.4947509765625,NA,81.2,10,2017791750,22.1184167378788
"Iran",2007,2.5,4904.6661830977,8.49794231323045,49.8873069225934,78.097412109375,NA,81.2,10,1979988010,22.0995038066389
"Iran",2008,2.3,5717.31414752978,8.65125441947089,48.2294027741438,81.0142364501953,NA,81.1,10,2983421910,22.5094839511871
"Israel",2003,7,18991.3798529841,9.85174046325104,69.9747395825569,106.648941040039,2.7236351323,52.7,70,2946900000,22.4971667878732
"Israel",2004,6.4,19910.6106710093,9.89900806816042,78.1077940847309,105.728309631348,2.4857301113,52.7,70,4818400000,22.9888549402537
"Israel",2005,6.3,20585.1386127162,9.93232466785713,81.5865765419846,105.961837768555,2.5882652038,53.9,70,14395500000,24.08332867525
"Israel",2006,5.9,21853.140239801,9.99209990826598,81.3746696475815,106.116241455078,2.2901993985,55.2,70,8798100000,23.5909488065879
"Israel",2007,6.1,24952.5475909074,10.124731203819,81.7627872477742,105.491111755371,1.971623806,58,70,10274200000,23.7460489159767
"Israel",2008,6,29650.7702509045,10.2972433821965,77.3716748977032,104.08235168457,1.7091991377,55.9,80,4606900000,22.9439681971251
"Jordan",2003,4.6,1876.25933833432,7.53703536006217,115.706459100282,85.2603530883789,NA,78.9,70,936812411.847673,21.3511407999169
"Jordan",2004,5.3,2044.96372271857,7.62313532881763,134.625342421952,84.6346969604492,NA,78.9,70,1984485190.40903,22.1017725480886
"Jordan",2005,5.7,2183.39464250953,7.68863612010565,146.912780708309,84.4034576416016,1.1620567989,79.2,70,3544005641.74894,22.6816706421635
"Jordan",2006,5.3,2513.02873201623,7.82924397083129,141.747870461213,85.3364105224609,1.6690180349,78.2,50,2622144778.84372,22.3804056182738
"Jordan",2007,4.7,2735.37876694903,7.91402519409702,145.992964624506,85.3907928466797,1.7904845339,83.2,50,2826744496.33301,22.4555387123431
"Jordan",2008,5.1,3455.76995322946,8.14780056324937,140.91292596092,85.9046630859375,1.8302523323,83.7,50,2413098591.5493,22.2973246618099
"Kuwait",2003,5.3,22148.378150112,10.0055195515786,86.5551755074577,98.2083282470703,1.341582679,99.9,30,23752969.1211401,17.6763652768181
"Kuwait",2004,4.6,27011.6539985998,10.204023681439,89.2976416790834,102.364097595215,1.9541031167,99.9,30,233904109.589041,19.9635689818148
"Kuwait",2005,4.7,35591.0371337921,10.4798491192371,92.2426800942645,109.601417541504,1.8060114633,99.9,30,121305596.280329,19.3069706892742
